"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16043","Try To rent a book","","Thu Jan 30 12:59:46 GMT+01:00 2025","passed","Thu Jan 30 13:00:02 GMT+01:00 2025","","Books","",""
"","13","Open Page Home","","Mon Jan 27 10:55:31 GMT+01:00 2025","passed","Mon Jan 27 10:55:31 GMT+01:00 2025","","Home","",""
"","3302","Geting Title Then Chek it","","Mon Jan 27 12:24:56 GMT+01:00 2025","broken","Mon Jan 27 12:25:00 GMT+01:00 2025","","Home","",""
"","2581","Search About a book then check if the book exist","","Tue Jan 28 12:33:53 GMT+01:00 2025","passed","Tue Jan 28 12:33:55 GMT+01:00 2025","","Books","",""
"","6340","get all languages in menu","","Thu Jan 23 11:43:01 GMT+01:00 2025","failed","Thu Jan 23 11:43:08 GMT+01:00 2025","","Nvigate of languages","",""
"","6251","Getting Title Then Check it","","Tue Jan 28 11:44:23 GMT+01:00 2025","passed","Tue Jan 28 11:44:29 GMT+01:00 2025","","Home","",""
"","2823","get all languages in menu","","Thu Jan 23 11:12:51 GMT+01:00 2025","failed","Thu Jan 23 11:12:53 GMT+01:00 2025","","Nvigate of languages","",""
"","4069","Get the text of all menu items & assert them","","Tue Jan 28 11:44:29 GMT+01:00 2025","passed","Tue Jan 28 11:44:33 GMT+01:00 2025","","Home","",""
"","3872","Cekck if The button is Clickable","","Tue Jan 28 11:44:33 GMT+01:00 2025","passed","Tue Jan 28 11:44:37 GMT+01:00 2025","","Home","",""
"","1558","Checking Explore Button","","Tue Jan 28 11:44:37 GMT+01:00 2025","passed","Tue Jan 28 11:44:38 GMT+01:00 2025","","Home","",""
"","6808","Search About a book then check if the book exists","","Thu Jan 30 12:59:39 GMT+01:00 2025","passed","Thu Jan 30 12:59:46 GMT+01:00 2025","","Books","",""
"","2224","Cheking Explore Button","","Mon Jan 27 12:51:18 GMT+01:00 2025","failed","Mon Jan 27 12:51:20 GMT+01:00 2025","","Home","",""
"","3080","Send an email to subscribe","","Tue Jan 28 11:44:38 GMT+01:00 2025","passed","Tue Jan 28 11:44:42 GMT+01:00 2025","","Home","",""
"","4405","Check Title","","Thu Jan 30 12:59:35 GMT+01:00 2025","passed","Thu Jan 30 12:59:39 GMT+01:00 2025","","Books","",""
